"","r","med4"
"1",0,1
"2",0.3125,0.992935721000457
"3",0.625,0.985824905675226
"4",0.9375,0.97872763373803
"5",1.25,0.971635374468047
"6",1.5625,0.964487599391334
"7",1.875,0.957363600138527
"8",2.1875,0.950265360710406
"9",2.5,0.943127358606581
"10",2.8125,0.936013157008209
"11",3.125,0.928935396196276
"12",3.4375,0.921852071817484
"13",3.75,0.914785417760229
"14",4.0625,0.907766050609797
"15",4.375,0.900772474253851
"16",4.6875,0.893791769322179
"17",5,0.886869186267758
"18",5.3125,0.880000473154772
"19",5.625,0.8731441523352
"20",5.9375,0.866356591062576
"21",6.25,0.859639834690099
"22",6.5625,0.852953243515358
"23",6.875,0.846338135796194
"24",7.1875,0.839803955523975
"25",7.5,0.833326585683322
"26",7.8125,0.826919896781956
"27",8.125,0.820603628235629
"28",8.4375,0.814366715505969
"29",8.75,0.808202295103592
"30",9.0625,0.802136976118643
"31",9.375,0.796169342343549
"32",9.6875,0.790278306786328
"33",10,0.78449407330367
"34",10.3125,0.778817839291488
"35",10.625,0.773231799694528
"36",10.9375,0.767755339105894
"37",11.25,0.762393132222733
"38",11.5625,0.757136053090679
"39",11.875,0.75199013478287
"40",12.1875,0.746963443554997
"41",12.5,0.742052514261373
"42",12.8125,0.73725561600546
"43",13.125,0.7325815541475
"44",13.4375,0.728029843135557
"45",13.75,0.723595890062224
"46",14.0625,0.719286972372881
"47",14.375,0.715102811695549
"48",14.6875,0.711041520087896
"49",15,0.707105568375362
"50",15.3125,0.703294790509248
"51",15.625,0.699609409064497
"52",15.9375,0.696049596767299
"53",16.25,0.692614015041416
"54",16.5625,0.689303083747081
"55",16.875,0.686118122635652
"56",17.1875,0.683055180545738
"57",17.5,0.680113383023442
"58",17.8125,0.677297849112863
"59",18.125,0.674600986847582
"60",18.4375,0.672021169093027
"61",18.75,0.669564325739625
"62",19.0625,0.66722347157813
"63",19.375,0.664995141459993
"64",19.6875,0.662883496421528
"65",20,0.660885663629638
"66",20.3125,0.658995126465157
"67",20.625,0.657213525435383
"68",20.9375,0.655543488507163
"69",21.25,0.65397503328331
"70",21.5625,0.652506821510079
"71",21.875,0.651147839998956
"72",22.1875,0.649884470150663
"73",22.5,0.64871466533498
"74",22.8125,0.647646719913855
"75",23.125,0.646670884728765
"76",23.4375,0.645782679303934
"77",23.75,0.644987341271313
