"","r","med2"
"1",0,0.490311910264742
"2",0.3125,0.490333067639488
"3",0.625,0.490652409501126
"4",0.9375,0.491244970735374
"5",1.25,0.492122727512166
"6",1.5625,0.49327091638495
"7",1.875,0.494687700940961
"8",2.1875,0.496372419752131
"9",2.5,0.498306163354063
"10",2.8125,0.500505131341382
"11",3.125,0.502931171199758
"12",3.4375,0.505619031228269
"13",3.75,0.508510155585568
"14",4.0625,0.511658534488961
"15",4.375,0.514984974170562
"16",4.6875,0.518562485885582
"17",5,0.522291845797517
"18",5.3125,0.526264032387878
"19",5.625,0.530370351826135
"20",5.9375,0.534690377006122
"21",6.25,0.539135132918709
"22",6.5625,0.54376243654041
"23",6.875,0.548503398583629
"24",7.1875,0.553394448435906
"25",7.5,0.558385727447274
"26",7.8125,0.563493596343277
"27",8.125,0.568685510902676
"28",8.4375,0.5739597476164
"29",8.75,0.579298788084447
"30",9.0625,0.584685415299148
"31",9.375,0.590114367659546
"32",9.6875,0.595556067975565
"33",10,0.601014360832993
"34",10.3125,0.606450908939838
"35",10.625,0.611875240058866
"36",10.9375,0.617244228045648
"37",11.25,0.622569510719885
"38",11.5625,0.627807393691811
"39",11.875,0.63296803817091
"40",12.1875,0.638012406102222
"41",12.5,0.642943012738244
"42",12.8125,0.64773163169932
"43",13.125,0.652371466405614
"44",13.4375,0.656844875829221
"45",13.75,0.66113918540824
"46",14.0625,0.665243882058661
"47",14.375,0.669144802337881
"48",14.6875,0.672835319942441
"49",15,0.676303808437069
"50",15.3125,0.679544651336205
"51",15.625,0.682552207787977
"52",15.9375,0.685319497098867
"53",16.25,0.687849542599585
"54",16.5625,0.690132246810424
"55",16.875,0.692181051346046
"56",17.1875,0.693981698040051
"57",17.5,0.695558774566681
"58",17.8125,0.696893573085513
"59",18.125,0.698021490523827
"60",18.4375,0.698919833547698
"61",18.75,0.699632881696913
"62",19.0625,0.700136790759316
"63",19.375,0.700478250070875
"64",19.6875,0.700642088372592
"65",20,0.700667700879464
"66",20.3125,0.700550708838177
"67",20.625,0.700323333934876
"68",20.9375,0.699990224873101
"69",21.25,0.699577223448361
"70",21.5625,0.69909557643649
"71",21.875,0.698566070578927
"72",22.1875,0.698003698079594
"73",22.5,0.697425883889029
"74",22.8125,0.69684834467825
"75",23.125,0.696287037666308
"76",23.4375,0.695755459495458
"77",23.75,0.695270038100167
"78",24.0625,0.694839393162819
"79",24.375,0.694482275267792
"80",24.6875,0.694200215123278
"81",25,0.694015956845411
"82",25.3125,0.693922264830941
"83",25.625,0.693947314521817
"84",25.9375,0.694075851747107
"85",26.25,0.694337057717425
"86",26.5625,0.694713793498474
"87",26.875,0.69523193532579
"88",27.1875,0.695876111760322
"89",27.5,0.696667168555266
"90",27.8125,0.697593282300983
"91",28.125,0.698669447570875
"92",28.4375,0.699888875731962
"93",28.75,0.701260147961054
"94",29.0625,0.702782755373751
"95",29.375,0.704458421308058
"96",29.6875,0.706293981141235
"97",30,0.708283843913212
"98",30.3125,0.710443128830213
"99",30.625,0.712758362413894
"100",30.9375,0.71525379876706
"101",31.25,0.717907346606424
"102",31.5625,0.720753165069469
"103",31.875,0.723759640393753
"104",32.1875,0.726971499392712
"105",32.5,0.730348226883187
"106",32.8125,0.733940685088976
"107",33.125,0.737706657800919
"108",33.4375,0.741691814762679
"109",33.75,0.745861544150883
"110",34.0625,0.750252032931445
"111",34.375,0.754836663269465
"112",34.6875,0.759640843124795
"113",35,0.764646151166478
"114",35.3125,0.769866142648839
"115",35.625,0.775290507940356
"116",35.9375,0.780920275871723
"117",36.25,0.786752775765819
"118",36.5625,0.792776406066269
"119",36.875,0.798995186484163
"120",37.1875,0.805385495323079
"121",37.5,0.81195655509862
"122",37.8125,0.818674152048731
"123",38.125,0.825550656142046
"124",38.4375,0.832543558142069
"125",38.75,0.839665764917633
"126",39.0625,0.846869626861568
"127",39.375,0.854165479440211
"128",39.6875,0.861506294544093
"129",40,0.868890866585781
"130",40.3125,0.876281252493137
"131",40.625,0.883663902178898
"132",40.9375,0.891008290464848
"133",41.25,0.89829210299955
"134",41.5625,0.905489650913973
"135",41.875,0.91257418096523
"136",42.1875,0.91952196151241
"137",42.5,0.926306486958022
"138",42.8125,0.932902974912491
"139",43.125,0.939289954806921
"140",43.4375,0.945438641343405
"141",43.75,0.951337206933798
"142",44.0625,0.956950154870057
"143",44.375,0.962279446439796
"144",44.6875,0.967280586091186
"145",45,0.971972742485038
"146",45.3125,0.976300708688718
"147",45.625,0.98030332431177
"148",45.9375,0.983913651931187
"149",46.25,0.987188017112309
"150",46.5625,0.990058070858092
"151",46.875,0.992583807423233
"152",47.1875,0.994709620281813
"153",47.5,0.99648798376296
"154",47.8125,0.997880641200524
"155",48.125,0.998930810318512
"156",48.4375,0.999618105554677
"157",48.75,0.999975542059691
"158",49.0625,1
"159",49.375,0.999714117079115
"160",49.6875,0.999130443287498
"161",50,0.998261764722541
"162",50.3125,0.997133909972539
"163",50.625,0.995750925795912
"164",50.9375,0.994148967040297
"165",51.25,0.992324891680002
"166",51.5625,0.990321919151751
"167",51.875,0.988131537664883
"168",52.1875,0.985800709587524
"169",52.5,0.983317462321672
"170",52.8125,0.980729004745148
"171",53.125,0.978022763115223
"172",53.4375,0.975240677180854
"173",53.75,0.972376593172032
"174",54.0625,0.969460869340571
"175",54.375,0.966493567432491
"176",54.6875,0.963495774729616
"177",55,0.960471026666499
"178",55.3125,0.957433225319322
"179",55.625,0.954387128731632
"180",55.9375,0.951341187561436
"181",56.25,0.948299717396827
"182",56.5625,0.945267009380975
"183",56.875,0.942245916057347
"184",57.1875,0.939237367867922
