,smallcell1 vs. smallcell1,smallcell1 vs. smallcell2,smallcell2 vs. smallcell1,smallcell2 vs. smallcell2
0,1.6648881708665693,0.06510909033217976,0.06510922179053763,1.938738935345575
1,1.666601822694559,0.06609335671632773,0.06609354293328969,1.9361086522745865
2,1.668354047655648,0.06712485463808923,0.06712511634287993,1.9337421954525806
3,1.6701453989129496,0.06821002869384782,0.06821039494977049,1.9316499820442423
4,1.671970721469968,0.06935398461390069,0.06935449692572924,1.9298493923668132
5,1.673800652541184,0.07054411272461934,0.07054482321259854,1.9283497532430003
6,1.675621419360934,0.07177858492369993,0.07177956179633607,1.9271498143396448
7,1.6774177798753103,0.07305448903047684,0.07305582065305775,1.9262442603039058
8,1.6791782504587915,0.07437586221954738,0.0743776732575706,1.925636353952922
9,1.6808761314269762,0.075728024209287,0.07573046859735032,1.9253028390216997
10,1.6824938908544305,0.077101333002635,0.07710460165195626,1.9252183953966273
11,1.6840178670113437,0.07848763829102184,0.0784919689902669,1.9253575613558598
12,1.6854361640352424,0.07987910388763188,0.07988479773308574,1.9256957899807814
13,1.6867379049786926,0.08126643845407111,0.08127388463209463,1.9262072111744841
14,1.6879230586894793,0.08263674334878772,0.08264638929061356,1.9268506346056153
15,1.6889950023150928,0.08398275741958905,0.08399513817009865,1.9275976327783682
16,1.6899612962513084,0.08529916263225851,0.08531491191000531,1.9284221328237332
17,1.6908299062607648,0.08658308640378311,0.08660299886827776,1.929303105790676
18,1.691618012398119,0.08783576231508344,0.08786074283687523,1.9302148297146382
19,1.692341807870796,0.08906351625092293,0.089094589653756,1.9311361863651595
20,1.693014895777192,0.09027696034286543,0.090315297936371,1.9320468562352053
21,1.6936479367889004,0.09149145063320059,0.0915384003728383,1.9329232590778826
22,1.6942470625250383,0.0927294654358778,0.09278662036929594,1.933732071736587
23,1.6948152084920278,0.09401292650401903,0.09408195240247617,1.9344388337843232
24,1.6953486310111157,0.09536645598225392,0.09544915657913594,1.9350005301500455
25,1.6958390859423382,0.09681522269862872,0.09691350836587746,1.9353668136847146
26,1.6962713451841276,0.09839091710626988,0.09850684921916773,1.935465768569261
27,1.6966300946549926,0.10011449023049727,0.10025003607977859,1.9352348829453594
28,1.6969006572111867,0.10200009327085814,0.10215699012161714,1.9346184049527015
29,1.6970673222776052,0.10406012297299973,0.10423976047059201,1.933557923845828
30,1.6971141825414473,0.10630311106471142,0.10650631688997338,1.9319970134239455
31,1.6970199198599534,0.1087390865320091,0.10896574315633115,1.9298635656364647
32,1.696780503908892,0.11134977208482551,0.11159845099730475,1.9271648729866713
33,1.6963855706297568,0.11412356093342306,0.11439119865637043,1.9238928510154347
34,1.6958249336453883,0.11704478105882975,0.11732625773508686,1.920055009590004
35,1.695079825031253,0.12009895713733626,0.12038618068101001,1.9156531088831517
36,1.6941389018118063,0.12326165757948072,0.12354327532523181,1.9107362632545657
37,1.6929928054051542,0.12650968838364432,0.1267710839083115,1.9053674323059866
38,1.6916255988733735,0.1298253496330991,0.13004808054237482,1.8995995277428854
39,1.6900195420382738,0.1331941343597402,0.13335556638180465,1.8934862655223639
40,1.68814267842797,0.13660618966630014,0.13667750730712303,1.8870704290813145
41,1.6859983057076975,0.140054717603059,0.14000448707923815,1.8804204933628463
42,1.683580241913413,0.1435404699976766,0.14333348051112782,1.8735766686522124
43,1.680890178441958,0.14706916210157683,0.1466669111571746,1.866571058002286
44,1.677931828203915,0.15065249005534811,0.15001232601546552,1.85942526922188
45,1.6747335863095587,0.15430662688829902,0.1533842985186288,1.8521561850383093
46,1.671339779497117,0.1580492646963637,0.15680131845130318,1.8447716411374733
47,1.6677964628160158,0.1619011649327783,0.16028467586071235,1.8372699711936777
48,1.6641570540897686,0.16588472401512416,0.16385832337347045,1.8296430947028584
49,1.6604851374555096,0.1700321947576637,0.16755505445036967,1.821872962803647
50,1.6568416695644688,0.17436126417170122,0.17139869771176236,1.8139408328733475
51,1.6532775412063925,0.17889537927998142,0.1754167234999729,1.805819881648117
52,1.649833787792538,0.18365756190661148,0.17963639618301747,1.7974779508768586
53,1.6465451961900444,0.1886761396988181,0.1840899662063154,1.7888731314538042
54,1.6434229551312938,0.19397444159084923,0.18880497539715208,1.7799602671627082
55,1.6404478796181354,0.19956566110297014,0.19379793666334735,1.7707002470902387
56,1.6375912761600302,0.20546794719284625,0.19908881952139398,1.7610494262069676
57,1.6348089240256156,0.2116977045160781,0.2046947098558223,1.750966179303666
58,1.6320439857379743,0.218282285743782,0.2106424535074137,1.7403963736463037
59,1.629220726500092,0.22522024906698124,0.21692874965271156,1.7293250144649348
60,1.6262708018596579,0.23251864912449205,0.22355809700036086,1.7177328091578403
61,1.6231294061360626,0.24018236428601322,0.23053253041954042,1.7056077217187418
62,1.6197337784924153,0.24821703544445506,0.2378549328216578,1.6929403230121498
63,1.6160344896357157,0.25662024632798386,0.2455212638222505,1.6797340776158427
64,1.6120138260136159,0.2653791344853349,0.25351932905749,1.6660049215367472
65,1.607664051776577,0.2744854301308439,0.2618437518496159,1.6517589915083728
66,1.6029943441298762,0.283929127910845,0.2704903842342798,1.6369987438545572
67,1.5980241621355546,0.29369970076823015,0.279460057359293,1.6217168103208057
68,1.5928054016176716,0.30378243989241605,0.28875171604031036,1.6059031417086507
69,1.5873875421045032,0.31416918000064964,0.29837399892836586,1.589532292902565
70,1.5818218472871888,0.32485565729036314,0.3083425095921693,1.5725686332806674
71,1.5761616810798091,0.3358405203334299,0.3186807380682269,1.5549675008302204
72,1.5704582458722056,0.34712750645218865,0.3294207794212317,1.5366800879065956
