,smallcell1 vs. smallcell1,smallcell1 vs. largecell,smallcell1 vs. smallcell2,largecell vs. smallcell1,largecell vs. largecell,largecell vs. smallcell2,smallcell2 vs. smallcell1,smallcell2 vs. largecell,smallcell2 vs. smallcell2
0,0.32074482948073063,2.989631941758634e-16,1.6986255175518925,3.826986989448065e-15,2.4173977029063953e-16,8.504415532106811e-16,1.6986255175518918,1.3819316761899944e-15,0.32074482948073096
1,0.35666003232980975,5.92360245231567e-16,1.6627103147028095,0.0,0.0,5.923602452315671e-16,1.6627103147028093,5.923602452315671e-16,0.35666003232981064
2,0.3965041053287354,6.393966813747793e-16,1.6228662417038833,3.6536953221415955e-16,0.0,1.9004026250328354e-16,1.622866241703882,2.0463099091588967e-15,0.3965041053287347
3,0.440188678542678,1.6465914297972585e-15,1.5791816684899354,0.0,0.0,9.757578843243015e-16,1.5791816684899362,1.4636368264864522e-15,0.44018867854267757
4,0.4874641086709784,1.457597382031154e-15,1.5319062383616413,0.0,1.010232114108646e-15,1.6658255794641766e-15,1.5319062383616404,3.886926352083078e-15,0.4874641086709766
5,0.5379799932351192,0.0,1.4813903537974926,0.0,0.0,2.7276416451601735e-15,1.4813903537974924,7.89851469219094e-16,0.5379799932351202
6,0.5903805376705431,6.60697385132534e-16,1.4289898093620674,1.7915882049006554e-16,1.4246287366920259e-15,5.051392821206942e-16,1.4289898093620672,1.1844826328624707e-15,0.5903805376705428
7,0.6434849657756726,1.56322574509318e-15,1.3758853812569336,0.0,1.347326951138982e-15,1.719828779661351e-15,1.3758853812569334,2.033034848797693e-15,0.6434849657756733
8,0.6959345860002796,2.948825181549819e-16,1.3234357610323273,1.294433279354188e-15,0.0,2.405892403055454e-15,1.3234357610323266,1.6084663319648801e-15,0.6959345860002805
9,0.7463176816614485,1.4930304599890755e-15,1.2730526653711574,1.15940251791125e-15,0.0,1.1228594309731512e-15,1.2730526653711574,9.393539696768347e-16,0.7463176816614493
10,0.7931994652653654,5.203391466953376e-16,1.226170881767234,0.0,0.0,0.0,1.2261708817672345,1.3463604955296333e-15,0.7931994652653652
11,0.8354809456689178,1.6624604302192163e-16,1.1838894013636785,2.468978955661985e-16,3.9928019048596166e-16,4.433227813917911e-16,1.183889401363678,6.649841720876867e-16,0.8354809456689177
12,0.8724871644095827,5.589127725805575e-16,1.1468831826230146,3.3534766354833456e-16,0.0,5.96173624085928e-16,1.1468831826230141,1.4750589908151118e-15,0.8724871644095827
13,0.9039322127679557,1.480942418770366e-15,1.1154381342646371,1.65725874388419e-15,0.0,7.522065123618121e-16,1.1154381342646371,2.0578344463051054e-15,0.9039322127679571
14,0.929783684309733,2.702985928617697e-16,1.089586662722859,4.999919473435103e-16,0.0,2.9060121205178393e-16,1.089586662722859,1.314801874409787e-15,0.9297836843097333
15,0.9504664543803247,0.0,1.068903892652267,1.0816358405351399e-15,8.746039804327107e-16,5.43525775142912e-16,1.0689038926522667,4.879479865720854e-16,0.9504664543803251
16,0.9666476862175133,1.0521014346762594e-15,1.0527226608150761,7.746167940153823e-16,1.1388187241561372e-16,4.694647236456862e-16,1.0527226608150757,4.694647236456862e-16,0.9666476862175138
17,0.9790077258198534,5.957753941459466e-17,1.040362621212736,7.392798799701686e-16,4.866624546882965e-16,6.914450513620946e-16,1.0403626212127361,0.0,0.9790077258198552
18,0.9882346786333486,1.3712968078427981e-15,1.0311356683992423,2.318325055354588e-16,1.1183787453687797e-15,1.4930214359165129e-15,1.0311356683992423,2.239532153874769e-15,0.9882346786333506
19,0.994900281400708,4.981887008707844e-16,1.0244700656318824,2.2007730409182298e-16,1.5642001544580259e-16,1.2092527264470937e-15,1.0244700656318821,8.464769085129656e-16,0.9949002814007103
20,0.9996675344975153,3.855514652523051e-16,1.019702812535074,1.2097930699377395e-16,5.869386690869814e-16,1.115573474204183e-15,1.0197028125350738,5.997467237258077e-16,0.9996675344975179
21,1.0030198845388232,1.1329883133951607e-15,1.016350462493767,6.519391944535315e-16,2.3961543546143647e-16,4.0125823928332574e-16,1.0163504624937665,2.654576341961655e-16,1.0030198845388247
22,1.0053316242671275,8.380835913833293e-16,1.014038722765463,0.0,1.1739374769204237e-15,9.87644340951992e-16,1.0140387227654626,2.1576619176975088e-15,1.00533162426713
23,1.0068927931574685,4.517869270961185e-16,1.0124775538751207,2.678218176347175e-16,1.7324723828245789e-15,1.202959395243564e-15,1.012477553875121,1.2065708826024015e-15,1.0068927931574714
24,1.0079115519952488,4.704731027207968e-16,1.0114587950373422,3.5553468474514944e-16,9.270449083356148e-16,2.078129975040956e-16,1.011458795037342,8.727711427502382e-16,1.007911551995251
25,1.008579290633829,9.64710436020621e-16,1.010791056398762,1.878989561605977e-16,1.4369578439598033e-15,8.715732632547516e-16,1.010791056398762,4.3314236554669026e-16,1.0085792906338316
26,1.0090086524487047,2.8359960077086244e-17,1.010361694583886,2.568522905130098e-16,1.0394079776072425e-15,4.794576089576184e-16,1.010361694583886,2.4329511251318953e-16,1.0090086524487079
27,1.0092793357463719,9.309540132501244e-16,1.0100910112862203,1.1352509047447259e-15,1.1230842098835205e-15,1.309274490881339e-15,1.0100910112862198,1.0219669105581451e-16,1.009279335746375
28,1.0094454739845236,5.448611885945742e-16,1.0099248730480679,2.857605085716962e-16,1.3229638379983e-15,4.605551288145442e-16,1.0099248730480672,1.0195062375806436e-15,1.0094454739845264
29,1.0095449600812623,0.0,1.0098253869513294,4.074719378471842e-16,0.0,8.359314127768846e-16,1.0098253869513292,4.1347610472903005e-16,1.0095449600812652
