,r
120,36.26914086255776
121,36.57392355888177
122,36.878706255205785
123,37.1834889515298
124,37.48827164785382
125,37.79305434417783
126,38.097837040501844
127,38.40261973682586
128,38.70740243314988
129,39.01218512947389
130,39.3169678257979
131,39.62175052212192
132,39.92653321844594
133,40.23131591476995
134,40.53609861109396
135,40.84088130741798
136,41.145664003742
137,41.45044670006601
138,41.75522939639002
139,42.06001209271404
140,42.36479478903806
141,42.66957748536207
142,42.97436018168608
143,43.2791428780101
144,43.58392557433412
145,43.88870827065813
146,44.19349096698214
147,44.49827366330616
148,44.803056359630176
149,45.10783905595419
150,45.4126217522782
151,45.71740444860222
152,46.022187144926235
153,46.326969841250246
154,46.63175253757426
155,46.936535233898276
156,47.241317930222294
157,47.546100626546306
158,47.85088332287032
159,48.155666019194335
160,48.46044871551835
161,48.765231411842365
162,49.070014108166376
163,49.374796804490394
164,49.67957950081441
165,49.984362197138424
166,50.289144893462435
167,50.59392758978645
168,50.89871028611047
169,51.20349298243448
170,51.508275678758494
171,51.81305837508251
172,52.11784107140653
173,52.42262376773054
174,52.72740646405455
175,53.03218916037857
176,53.33697185670259
177,53.6417545530266
178,53.94653724935061
179,54.25131994567463
180,54.55610264199865
181,54.86088533832266
182,55.16566803464667
183,55.47045073097069
184,55.77523342729471
185,56.08001612361872
186,56.38479881994273
187,56.68958151626675
188,56.99436421259077
189,57.29914690891478
190,57.60392960523879
191,57.90871230156281
192,58.213494997886826
193,58.51827769421084
194,58.82306039053485
195,59.12784308685887
196,59.432625783182885
197,59.7374084795069
198,60.04219117583091
199,60.346973872154926
200,60.651756568478945
201,60.956539264802956
202,61.26132196112697
203,61.566104657450985
204,61.870887353775004
205,62.175670050099015
206,62.480452746423026
207,62.785235442747044
208,63.09001813907106
209,63.394800835395074
210,63.699583531719085
211,64.0043662280431
212,64.30914892436712
213,64.61393162069113
214,64.91871431701514
215,65.22349701333917
216,65.52827970966318
217,65.83306240598719
218,66.1378451023112
219,66.44262779863521
220,66.74741049495924
221,67.05219319128325
222,67.35697588760726
223,67.66175858393129
224,67.9665412802553
225,68.27132397657931
226,68.57610667290332
227,68.88088936922733
228,69.18567206555136
229,69.49045476187537
230,69.79523745819938
231,70.1000201545234
232,70.40480285084742
233,70.70958554717143
234,71.01436824349544
235,71.31915093981945
236,71.62393363614348
237,71.92871633246749
238,72.2334990287915
239,72.53828172511552
240,72.84306442143954
241,73.14784711776355
242,73.45262981408756
243,73.75741251041157
244,74.0621952067356
245,74.3669779030596
246,74.67176059938362
247,74.97654329570764
248,75.28132599203165
249,75.58610868835567
250,75.89089138467968
251,76.19567408100369
252,76.50045677732771
253,76.80523947365172
254,77.11002216997574
255,77.41480486629976
256,77.71958756262377
257,78.02437025894778
258,78.3291529552718
259,78.6339356515958
260,78.93871834791983
261,79.24350104424384
262,79.54828374056785
263,79.85306643689188
264,80.15784913321589
265,80.4626318295399
266,80.76741452586391
267,81.07219722218792
268,81.37697991851195
269,81.68176261483596
270,81.98654531115997
271,82.291328007484
272,82.59611070380801
273,82.90089340013202
274,83.20567609645603
275,83.51045879278004
276,83.81524148910407
277,84.12002418542808
278,84.42480688175209
279,84.72958957807612
280,85.03437227440013
281,85.33915497072414
282,85.64393766704815
283,85.94872036337216
284,86.25350305969619
285,86.5582857560202
286,86.86306845234421
287,87.16785114866823
288,87.47263384499225
289,87.77741654131626
290,88.08219923764027
291,88.38698193396428
292,88.6917646302883
293,88.99654732661232
294,89.30133002293633
295,89.60611271926035
296,89.91089541558436
297,90.21567811190837
298,90.52046080823239
299,90.8252435045564
