,type_ off  vs. type_ off ,type_ off  vs. type_ on ,type_ on  vs. type_ off ,type_ on  vs. type_ on 
42,9.214087297649103e-05,1.9873872712945704,2.0177064175623394,0.00032478708247928885
43,0.00010721678853543955,1.9867635064953535,2.01826933897792,0.0003728262326079454
44,0.0001245280984534281,1.9861267240655294,2.0188369842867897,0.0004272045714861331
45,0.00014464042579536766,1.9854729175358115,2.0194113476634272,0.0004894331969326376
46,0.0001676890426155703,1.9848065384614682,2.019987641676725,0.0005597169378420323
47,0.00019439925286042628,1.984123702118526,2.0205672357080418,0.000639923443820938
48,0.0002249444241101988,1.9834287628576106,2.0211453606745664,0.0007302982841315899
49,0.0002602486501453829,1.982717939401985,2.0217226755003748,0.0008331322623778262
50,0.00030053167285955576,1.9819954395894797,2.022294468118883,0.000948713545540288
51,0.00034696296447315637,1.9812575512063069,2.0228606030525533,0.0010798294902436168
52,0.0003998178414552026,1.98050828360684,2.0234164680956837,0.0012268100190282625
53,0.000460565977181356,1.979743941891606,2.0239610526190184,0.0013930181511158835
54,0.0005295481648172809,1.9789682841300686,2.0244898909141114,0.001578820719848994
55,0.000608597952040492,1.978177563248701,2.0250010209940226,0.0017882394628625589
56,0.0006981318426694417,1.9773752348215905,2.025490173521625,0.0020216676945006336
57,0.0008004201759138626,1.9765574131125865,2.025954364704315,0.002283870312695487
58,0.0009159651730934725,1.9757272045611092,2.0263895740367808,0.0025752492382067615
59,0.0010475561948400758,1.974880483291424,2.0267917323603633,0.0029013948945853865
60,0.0011957901686298034,1.9740199679876589,2.0271571224209706,0.0032626903702847117
61,0.001364066641458068,1.973141179537107,2.0274805341937086,0.003665627451272341
62,0.001553084146103385,1.9722464220337959,2.0277586096160536,0.0041105310478802585
63,0.0017669515521814688,1.9713307431348,2.027984951774129,0.004604858120397794
64,0.0020064724033263793,1.970396021190339,2.0281566192040312,0.0051488216400736135
65,0.002276570292704317,1.9694367097358505,2.0282659934780147,0.005750888980508924
66,0.002578151895064146,1.9684542697116547,2.0283106091268674,0.006411090413942563
67,0.002917064575935865,1.9674424458536879,2.028281605684837,0.0071389228586091905
68,0.0032943087453568285,1.9664023130105204,2.028177056313089,0.007934143603633087
69,0.003716764545704222,1.96532680665529,2.0279868558150373,0.008807263783684021
70,0.004185506503955614,1.9642166728238497,2.0277096838992312,0.00975765563090941
71,0.004708551590715297,1.9630639600828579,2.0273342106769827,0.010796785857562356
72,0.005287015424339057,1.9618691711560534,2.026859798359688,0.011923506064878011
73,0.005930144693774933,1.9606234217362004,2.026273941169613,0.013150127758354403
74,0.00663904607269844,1.9593270863061076,2.025576771028435,0.01447482209978845
75,0.007424270212457174,1.957970342060104,2.024754690710961,0.015910574402510407
76,0.008286843932396717,1.9565535800940155,2.0238087035044487,0.01745469215579764
77,0.009238668870097005,1.9550660817320213,2.0227242479268295,0.019120597062423757
78,0.010280596383993534,1.9535084281032662,2.021503317213542,0.020904529355489202
79,0.011425889653826448,1.9518691019680758,2.020130561962252,0.022820040192491075
80,0.012675100968853981,1.9501490734414795,2.018609101729566,0.02486208478682682
81,0.014042819918685445,1.948336182734567,2.016923029082244,0.027043968906967867
82,0.015529146006382813,1.9464320080927802,2.015076742276867,0.029359140919957706
83,0.01714990623311583,1.9444239624672128,2.013054060189645,0.031820226359531904
84,0.018904563445191102,1.9423144633824814,2.010860822695,0.034418955613261866
85,0.020810033361130926,1.9400907670583611,2.008480909572842,0.037166794759402835
86,0.022864931141592337,1.9377563619374154,2.0059217657806228,0.04005357545304723
87,0.025087050842024942,1.935298663610427,2.003167706168613,0.04308910494187951
88,0.027473928729759643,1.9327224484922811,2.000227929875167,0.04626118997687554
89,0.030043968454240788,1.930015637264792,1.997087582552132,0.049577492167388715
90,0.03279338765304608,1.9271844783963232,1.9937577327420648,0.05302374906991883
91,0.035740882258204806,1.924217750773847,1.9902247489470424,0.05660504217863905
92,0.038881119479941155,1.921123305281186,1.9865016276713259,0.060305105234164935
93,0.04223273839110552,1.9178911120278828,1.9825763174949453,0.0641261011963803
94,0.045788652527380444,1.9145306796742663,1.9784637211143876,0.06804995953312927
95,0.0495670862532039,1.9110334518722996,1.9741536553367545,0.0720757253391981
96,0.053559047800035633,1.907410556266048,1.9696628058446273,0.07618387412455593
97,0.05778200795507582,1.9036551112293076,1.964983043436707,0.08037030941769513
98,0.06222499244838911,1.8997797166584722,1.9601325976123138,0.08461455788658356
99,0.0669044277883306,1.8957792594347567,1.955105449069598,0.08890955743014402
100,0.07180737354268701,1.891667551898628,1.9499210119901103,0.09323453347859871
101,0.07694899611576948,1.8874412179144713,1.9445752862491508,0.09757984025757252
102,0.08231451052605279,1.883114915481055,1.9390884010902536,0.10192516166222072
103,0.08791770212174613,1.8786868424577843,1.9334581359638627,0.10625884207927906
104,0.0937421695392445,1.874172047232883,1.927704779130579,0.1105618483559658
105,0.09980030063272598,1.86957001469694,1.92182751524257,0.11482124631358036
106,0.10607440145516624,1.8648956699566277,1.915846186422913,0.11902011511071281
107,0.11257554750713551,1.860149394910807,1.9097609031048246,0.12314507958435869
108,0.11928514872636552,1.8553454580976654,1.9035904537889767,0.12718209991871862
109,0.12621313922997707,1.8504846773048311,1.8973353322510447,0.13111824243642314
110,0.13334046919863826,1.8455801545566948,1.891012714141754,0.13494299369200743
111,0.1406761614617067,1.8406326502367079,1.8846229202233298,0.1386447250282762
