,type_ off  vs. type_ off ,type_ off  vs. type_ on ,type_ on  vs. type_ off ,type_ on  vs. type_ on 
0,1.0149430574581606e-07,2.002746998595255,2.00274699859529,4.29695125511263e-07
1,1.2050705924614503e-07,2.00274695376662,2.002746953766627,5.041988090929363e-07
2,1.427425345439777e-07,2.0027469018087642,2.002746901808749,5.903199850791219e-07
3,1.69405860411383e-07,2.0027468400907966,2.0027468400908113,6.923277331907827e-07
4,2.0058345981882634e-07,2.002746768569794,2.002746768569794,8.102145512367759e-07
5,2.379372717221271e-07,2.0027466836870476,2.0027466836870524,9.497171847032069e-07
6,2.816063030791611e-07,2.00274658534227,2.002746585342268,1.1108910774905267e-06
7,3.338791320780549e-07,2.0027464687295464,2.002746468729539,1.3014326982086507e-06
8,3.9497401440140515e-07,2.002746333656689,2.0027463336566917,1.521503240349462e-06
9,4.68037613904e-07,2.00274617364391,2.002746173643914,1.7814098227881744e-06
10,5.53406749643276e-07,2.002745988356195,2.0027459883561978,2.081482877172675e-06
11,6.55400240898488e-07,2.002745769072099,2.0027457690721,2.4354988931364235e-06
12,7.745302756570263e-07,2.002745515240698,2.002745515240699,2.8440500643206906e-06
13,9.167135851698164e-07,2.0027452151448597,2.0027452151448615,3.3255113464008474e-06
14,1.0827190813784692e-06,2.002744867912555,2.0027448679125537,3.880869087475967e-06
15,1.2806367943552131e-06,2.0027444578344777,2.0027444578344777,4.534576559227182e-06
16,1.5116078216788797e-06,2.0027439835685037,2.002743983568506,5.288200738890831e-06
17,1.7866702005270236e-06,2.0027434240990365,2.0027434240990374,6.174204650164684e-06
18,2.107500333567139e-06,2.002742777405814,2.0027427774058153,7.194995359867065e-06
19,2.4891237612048085e-06,2.002742015441731,2.0027420154417306,8.393555930532426e-06
20,2.9339802663485002e-06,2.0027411352201265,2.0027411352201274,9.773489619602003e-06
21,3.4624724570600943e-06,2.002740099406563,2.0027400994065605,1.139154681568974e-05
22,4.078119786967656e-06,2.0027389036538157,2.002738903653813,1.3253009080158561e-05
23,4.808551473352152e-06,2.0027374984038167,2.002737498403818,1.5432573501778413e-05
24,5.65880163938891e-06,2.0027358774154944,2.0027358774154957,1.793784402040122e-05
25,6.6661767179827665e-06,2.0027339751041255,2.0027339751041264,2.086681337698212e-05
26,7.83781831180684e-06,2.0027317826216895,2.00273178262169,2.4230256282503313e-05
27,9.223940844226579e-06,2.0027292134582217,2.0027292134582217,2.8156265097721857e-05
28,1.083459356649166e-05,2.002726255216586,2.002726255216586,3.2659886541875806e-05
29,1.2737135406365962e-05,2.002722794188838,2.002722794188839,3.7907909598987997e-05
30,1.4945592613325405e-05,2.0027188131997806,2.0027188131997766,4.3921059935185506e-05
31,1.7549991249929924e-05,2.0027141633633057,2.0027141633633057,5.091560632674118e-05
32,2.0569748628423554e-05,2.0027088211444823,2.0027088211444832,5.891971997332967e-05
33,2.412471150659674e-05,2.0027025923977075,2.0027025923977066,6.821256673799271e-05
34,2.8241537098740343e-05,2.0026954452225363,2.0026954452225363,7.883193920428687e-05
35,3.307909548602054e-05,2.0026871275752036,2.0026871275752027,9.113644917960187e-05
36,3.8673671924394366e-05,2.002677596686512,2.0026775966865125,0.00010517613261505733
37,4.523491094280659e-05,2.0026665269008173,2.002666526900817,0.00012140926365111678
38,5.281177060372481e-05,2.0026538615106917,2.0026538615106904,0.00013990120159208724
39,6.16795559285886e-05,2.002639181886688,2.002639181886688,0.00016123432119890472
40,7.190372520879011e-05,2.0026224136930595,2.002622413693059,0.00018549281411931365
41,8.384394034135565e-05,2.0026030217005193,2.002603021700519,0.00021341235919621567
42,9.758689768140463e-05,2.0025809096077247,2.0025809096077243,0.00024509982746836095
