,small cell vs. small cell
196,1.0087575133615228
197,1.0082039211195686
198,1.0076056579995656
199,1.006966224699872
200,1.0062876711720627
201,1.0055719283292752
202,1.004824482560246
203,1.0040484466276185
204,1.0032463395305542
205,1.0024235327707423
206,1.0015869594085323
207,1.0007434316106238
208,0.9999015407601193
209,0.9990720423477868
210,0.9982654792891011
211,0.9974930450280644
212,0.9967712197464068
213,0.9961094528271316
214,0.9955185225766763
215,0.9950096907232256
216,0.9945978246708926
217,0.9942832004595075
218,0.9940696755082962
219,0.9939620336540054
220,0.9939608718209718
221,0.9940556985415936
222,0.9942392761184792
223,0.9945056260111518
224,0.9948399203386937
225,0.9952254859692256
226,0.9956477246578571
227,0.9960919859249731
228,0.9965400711974429
229,0.9969773971441341
230,0.9973910192837824
231,0.9977657112412103
232,0.9980946525555539
233,0.9983716005850987
234,0.9985915288540606
235,0.9987502186894991
236,0.9988529733762869
237,0.998903238067301
238,0.9989045420036744
239,0.9988640094827425
240,0.998791676405576
241,0.9986956109188946
242,0.9985836633667569
243,0.9984654318026984
244,0.9983489345421389
245,0.9982411221345251
246,0.9981499934553745
247,0.998080762755455
248,0.9980380110857333
249,0.9980261630791839
250,0.9980519256081986
251,0.9981158085021656
252,0.9982203950374315
253,0.9983689951831539
254,0.998565157103247
255,0.9988069720129796
256,0.9990946232151675
257,0.999429540778714
258,0.999809858842307
259,1.000230710336761
260,1.0006883390953591
261,1.0011797520834513
262,1.0016970410893828
263,1.002232645585101
264,1.0027793417973885
265,1.0033292406333905
266,1.0038734380394112
267,1.004404597805615
268,1.004915671254098
269,1.0053985378705121
270,1.0058499936271934
271,1.0062667470247841
272,1.0066456691431767
273,1.0069852358649098
274,1.0072884719243143
275,1.0075573949670595
276,1.0077935131162952
277,1.0080011133592752
278,1.0081849522794946
279,1.0083483671268199
280,1.0084931601734601
281,1.008622136283735
282,1.0087361569575743
283,1.0088346011112501
284,1.0089138478921837
285,1.0089720297769016
286,1.0090053761753812
287,1.009009189083336
288,1.0089772391678322
289,1.0089085445361063
290,1.0088013534551845
291,1.0086541724476301
292,1.0084690607383127
293,1.0082531458089599
294,1.0080137522548311
295,1.007760278229593
296,1.0075064736895871
297,1.0072659452681683
298,1.007052269727485
299,1.0068830042909722
300,1.0067692532127281
301,1.0067201629175737
302,1.006743105564261
303,1.0068478539327357
304,1.0070269085871117
305,1.0072749605125269
306,1.0075840814748802
307,1.0079414282471506
308,1.0083263623968466
309,1.0087203836047156
310,1.0091023450645675
311,1.009448824590795
312,1.0097410497436714
313,1.0099615061971146
314,1.010088642813118
315,1.0101121263333346
316,1.010026714398044
317,1.0098283755741833
318,1.0095078339109165
319,1.0090779658053852
320,1.0085475750271582
321,1.007926532252573
322,1.0072246002624774
323,1.0064648539800178
324,1.00566414611194
325,1.0048397921332282
326,1.0040116766443232
327,1.003198269706723
328,1.0024153363020831
329,1.0016799605054583
330,1.0010058504808013
331,1.0004008943325158
332,0.9998724370363108
333,0.9994311105635123
334,0.9990758067743832
335,0.9988044965767826
336,0.998614919067777
337,0.9985091152513637
338,0.998474148176025
339,0.9985025994830875
340,0.9985871108044764
341,0.9987203204963397
342,0.9988886769497044
343,0.9990825329107325
344,0.9992923430679701
345,0.9995070265745278
346,0.9997161119151996
347,0.9999103627356675
348,1.000079158346596
349,1.0002135591127796
350,1.0003071905915661
351,1.0003539100895493
352,1.0003446709261479
353,1.0002790185796946
354,1.0001567636679083
355,0.999978609456916
356,0.9997435463288481
357,0.999462171044413
358,0.9991420085069626
359,0.9987918207560563
360,0.9984229370595653
361,0.9980492843257738
362,0.9976829625317392
363,0.997337243693742
364,0.9970252722248517
365,0.9967558229438619
366,0.9965369035010637
367,0.9963782907468761
368,0.9962822857713471
369,0.996248213671601
370,0.9962749964773391
371,0.9963637860761367
372,0.9965050472580274
373,0.9966918492885569
374,0.9969173099952442
375,0.9971751205934852
376,0.997454319155339
377,0.997747475038357
378,0.9980477255370529
379,0.9983482057765123
380,0.9986432869049252
381,0.9989288193831093
382,0.9992009711108614
383,0.9994573093935688
384,0.9996971689270928
385,0.9999202392376416
386,1.0001261042540885
387,1.000316749860726
388,1.0004944050457907
389,1.0006614389827684
390,1.000820421087437
391,1.0009752515451016
392,1.0011291755592364
393,1.0012854852826927
394,1.0014479564309067
395,1.001618816779036
396,1.0017999972168528
397,1.0019931785164586
398,1.0021989112349834
399,1.0024154900928026
400,1.0026409052401017
401,1.0028721939189056
402,1.003104263626008
403,1.0033314530659878
404,1.0035476249180728
405,1.0037442173669762
406,1.0039141351535474
407,1.004050617299341
408,1.0041468454287965
409,1.0041919426112462
410,1.0041843171969598
411,1.004120033778488
412,1.0039951013025936
413,1.0038050089250534
414,1.0035542495748164
415,1.0032443313776855
416,1.0028756035118704
417,1.0024514576432997
418,1.0019790666042205
419,1.0014629165525828
420,1.0009053613605996
421,1.000312652400999
422,0.9996903071717351
423,0.9990422068906284
424,0.99837024682531
425,0.9976800297588864
426,0.9969753583704303
427,0.996259889314424
428,0.9955376581518216
429,0.9948150661400208
430,0.9940981023022312
431,0.9933941623299877
432,0.9927130659046579
433,0.9920631571392459
434,0.9914538295279628
435,0.9908973669980393
436,0.9904046067152041
437,0.9899818717706536
438,0.9896364054800016
439,0.9893794358903287
440,0.9892115500021804
441,0.989131353758056
442,0.98913721227406
443,0.9892313814539131
444,0.9894001487034486
445,0.9896342064495156
446,0.9899238287177421
447,0.9902589184106565
448,0.990622752866837
449,0.9910029771746146
450,0.9913873585609175
451,0.9917629090627937
452,0.9921193623145825
453,0.9924483161064729
454,0.9927410552459591
455,0.9929926176434793
456,0.9932019410416852
457,0.9933686849976338
458,0.9934919799713516
459,0.9935782495677001
460,0.9936342031130212
461,0.9936672547588921
462,0.9936859686964937
463,0.9937023589162487
464,0.9937267170261105
465,0.9937698759287594
466,0.9938444299123486
467,0.9939575899767271
468,0.9941163187605523
469,0.9943277968869833
470,0.9945957007445089
471,0.9949168025437514
472,0.9952880144680439
473,0.9957057765030431
474,0.9961592627409607
475,0.9966360969823685
476,0.9971238937881529
477,0.9976077605722737
478,0.9980719518437353
479,0.9985026325099272
480,0.9988863832640812
481,0.9992054689931926
482,0.9994539146330795
483,0.9996239933706953
484,0.9997078655024241
485,0.9996980656281768
486,0.9995990596662241
487,0.9994114933044901
488,0.999133737731534
489,0.9987693002970607
490,0.9983263067447189
491,0.9978091492787248
492,0.9972183248152647
493,0.9965614519456609
494,0.9958446095904716
495,0.9950716643345437
496,0.9942429910086249
497,0.9933662136237004
498,0.9924450659232943
499,0.9914826673689769
500,0.9904825021224412
501,0.9894504409719501
502,0.9883904356978773
503,0.9873075886923164
504,0.9862092377642265
505,0.9850990852822618
506,0.9839818714029901
507,0.9828670732052749
508,0.9817611680878982
509,0.9806655531576333
510,0.9795845705806926
511,0.978533099795877
512,0.9775098949414414
