,smallcell vs. smallcell,smallcell vs. largecell,largecell vs. smallcell,largecell vs. largecell
67,1.0194170225676211,3.2843921465015667e-17,1.0512914089613045e-16,1.2918599541534731e-16
68,1.0194170225676216,3.6928607911810315e-18,2.655275350528895e-16,5.364054134571625e-18
69,1.0194170225676211,1.1527931601382332e-16,4.019522088120239e-16,4.410295530310359e-17
70,1.0194170225676213,0.0,5.914764330117167e-17,1.6106385849108404e-16
71,1.0194170225676216,9.395757604981338e-17,2.453553006094221e-16,4.605514173687875e-16
72,1.019417022567621,4.5830374664196744e-17,3.3883159048882425e-16,3.328538829483319e-17
73,1.0194170225676211,3.2798023326620755e-16,4.3105862095900647e-16,0.0
74,1.0194170225676216,1.4734246386308394e-16,3.8167898883297023e-16,2.2905516298998557e-16
75,1.0194170225676211,0.0,3.8187662985582696e-16,1.107154243243239e-17
76,1.0194170225676213,2.1496424043947924e-16,5.598067198959456e-17,1.3850808659534846e-17
77,1.0194170225676218,7.745794798143629e-17,2.24223499164841e-16,3.244984186779074e-18
78,1.0194170225676216,7.977212980744451e-17,4.757619350017699e-16,0.0
79,1.019417022567622,2.8970783877020403e-16,1.0457037538769494e-17,0.0
80,1.0194170225676213,0.0,1.827065087261602e-16,1.8517507027307607e-16
81,1.0194170225676213,3.9091361050603013e-16,1.5577336059404722e-16,0.0
82,1.0194170225676213,0.0,4.007791250423134e-16,1.1312931419538591e-16
83,1.0194170225676213,0.0,5.982258027240985e-17,1.58310622298137e-18
84,1.0194170225676216,0.0,4.306539930410126e-16,1.0020404359918858e-16
85,1.0194170225676213,0.0,1.7129201617566657e-16,8.354030097208676e-17
86,1.0194170225676213,1.6219738574371603e-16,4.658695394046613e-17,2.8136952027751106e-17
87,1.0194170225676216,7.372512332112982e-18,2.2995074479644345e-16,2.0962230900927496e-16
88,1.0194170225676213,7.511374742437237e-17,1.891882989367558e-16,2.1928277904291877e-16
89,1.0194170225676216,1.0091362376738017e-16,4.298174493779128e-16,3.702678185385231e-16
90,1.0194170225676216,1.9309221158125617e-16,2.2467008656912253e-16,9.703363691065195e-17
91,1.0194170225676211,0.0,2.777566020033034e-17,5.4864390731903334e-17
92,1.0194170225676216,0.0,2.429362467420122e-16,3.0001449911798566e-16
93,1.0194170225676213,0.0,1.478357473239627e-16,3.58756236357874e-16
94,1.0194170225676213,4.371743050883821e-18,1.04760162876207e-16,0.0
95,1.0194170225676216,1.0025819870637289e-17,3.6339188047281303e-16,5.3574297762195114e-17
96,1.0194170225676216,0.0,1.3191339477624511e-16,4.898726270216787e-17
97,1.0194170225676216,1.5235340091157882e-17,9.920216230937847e-17,0.0
98,1.0194170225676211,0.0,1.0465393733441182e-18,0.0
99,1.0194170225676216,0.0,2.1235301414311122e-16,0.0
100,1.0194170225676213,0.0,1.319034208347691e-16,0.0
101,1.0194170225676213,0.0,0.0,8.191740827802834e-17
102,1.0194170225676211,0.0,0.0,2.2166809437076397e-16
103,1.0194170225676213,0.0,0.0,0.0
104,1.0194170225676213,0.0,4.412452075128751e-17,3.567881170123638e-17
105,1.0194170225676213,0.0,1.67750908900725e-17,0.0
106,1.019417022567621,4.5765506525113174e-17,2.391314501481367e-16,0.0
107,1.0194170225676213,0.0,3.211268299753176e-17,0.0
108,1.0194170225676213,0.0,0.0,0.0
